MonsterNemesisUniqueDrop, Inner Treasure nearby
MonsterImplicitNemesisUniqueDrop, Inner Treasure nearby
MonsterAuraPhysicalThorns1, Physical Reflect nearby
MonsterPhysicalThorns, Physical Reflect nearby
MonsterAuraElementalThorns1, Elemental Reflect nearby
MonsterElementalThorns, Elemental Reflect nearby
MonsterNemesisCorruptedBlood, Corrupting Blood nearby
MonsterItems1, Wealth monsters nearby
MonsterExplodesOnDeathFire1, Volatile Flameblood nearby
MonsterExplodesOnDeathLightning1, Volatile Stormblood nearby
MonsterExplodesOnDeathCold1, Volatile Iceblood nearby
